event_id,urls,label
70499,http://www.mufoncms.com/files_jeud8334j/70499_submitter_file1__image1.JPG,obelisk
70503,http://www.mufoncms.com/files_jeud8334j/70503_submitter_file1__1aa.jpg,"beacon, lighthouse, beacon light, pharos"
70514,http://www.mufoncms.com/files_jeud8334j/70514_submitter_file1__UFO1croppedsmall.jpg,volcano
70548,http://www.mufoncms.com/files_jeud8334j/70548_submitter_file1__WP20150721008.jpg,harp
70619,http://www.mufoncms.com/files_jeud8334j/70619_submitter_file1__120048488454701788934411475577813740262111n.jpg,"traffic light, traffic signal, stoplight"
70627,http://www.mufoncms.com/files_jeud8334j/70627_submitter_file1__image.jpg,"nematode, nematode worm, roundworm"
70635,http://www.mufoncms.com/files_jeud8334j/70635_submitter_file1__IMG09591.JPG,"nematode, nematode worm, roundworm"
70638,http://www.mufoncms.com/files_jeud8334j/70638_submitter_file1__SeptUFO161.JPGa.jpg,"church, church building"
70644,http://www.mufoncms.com/files_jeud8334j/70644_submitter_file1__whenshowingredandgreenlights.jpg,"web site, website, internet site, site"
70648,http://www.mufoncms.com/files_jeud8334j/70648_submitter_file1__ufo.jpg,abaya
70665,http://www.mufoncms.com/files_jeud8334j/70665_submitter_file1__IMG0292.JPG,volcano
70675,http://www.mufoncms.com/files_jeud8334j/70675_submitter_file1__Genesys5circled.JPG,"traffic light, traffic signal, stoplight"
70713,http://www.mufoncms.com/files_jeud8334j/70713_submitter_file1__IMG20150919054839.jpg,jack-o'-lantern
70720,http://www.mufoncms.com/files_jeud8334j/70720_submitter_file1__image.jpg,"flagpole, flagstaff"
70721,http://www.mufoncms.com/files_jeud8334j/70721_submitter_file1__image.jpeg,volcano
70723,http://www.mufoncms.com/files_jeud8334j/70723_submitter_file1__image.jpg,electric guitar
70725,http://www.mufoncms.com/files_jeud8334j/70725_submitter_file1__DSC0013.JPG,"church, church building"
70731,http://www.mufoncms.com/files_jeud8334j/70731_submitter_file1__image.jpg,"airship, dirigible"
70732,http://www.mufoncms.com/files_jeud8334j/70732_submitter_file1__image.jpg,"airship, dirigible"
70733,http://www.mufoncms.com/files_jeud8334j/70733_submitter_file1__2015092114043622.jpg,"spotlight, spot"
70810,http://www.mufoncms.com/files_jeud8334j/70810_submitter_file1__DSC1985.JPG,"promontory, headland, head, foreland"
70819,http://www.mufoncms.com/files_jeud8334j/70819_submitter_file1__SAM1852.JPG,"mobile home, manufactured home"
70822,http://www.mufoncms.com/files_jeud8334j/70822_submitter_file1__image.jpg,pole
70823,http://www.mufoncms.com/files_jeud8334j/70823_submitter_file2__DSCF2418.JPG,syringe
70835,http://www.mufoncms.com/files_jeud8334j/70835_submitter_file1__IMG2297.JPG,"nematode, nematode worm, roundworm"
70841,http://www.mufoncms.com/files_jeud8334j/70841_submitter_file1__image.jpg,volcano
70844,http://www.mufoncms.com/files_jeud8334j/70844_submitter_file1__20150926195420.jpg,crane
70847,http://www.mufoncms.com/files_jeud8334j/70847_submitter_file1__image.jpg,"spotlight, spot"
70848,http://www.mufoncms.com/files_jeud8334j/70848_submitter_file1__IMG1866.JPG,"spotlight, spot"
70850,http://www.mufoncms.com/files_jeud8334j/70850_submitter_file2__image.jpeg,"nematode, nematode worm, roundworm"
70859,http://www.mufoncms.com/files_jeud8334j/70859_submitter_file1__AliensonMill2.jpg,"hook, claw"
70961,http://www.mufoncms.com/files_jeud8334j/70961_submitter_file1__image.jpeg,volcano
70963,http://www.mufoncms.com/files_jeud8334j/70963_submitter_file1__WormholeTaosNM.jpg,wing
70967,http://www.mufoncms.com/files_jeud8334j/70967_submitter_file1__image.jpg,"cowboy hat, ten-gallon hat"
70974,http://www.mufoncms.com/files_jeud8334j/70974_submitter_file1__20150719162042.jpg,alp
70976,http://www.mufoncms.com/files_jeud8334j/70976_submitter_file1__20150929035008.jpg,"spotlight, spot"
70980,http://www.mufoncms.com/files_jeud8334j/70980_submitter_file1__Phone25182.jpg,"beacon, lighthouse, beacon light, pharos"
70981,http://www.mufoncms.com/files_jeud8334j/70981_submitter_file1__IMG0033.jpg,analog clock
70984,http://www.mufoncms.com/files_jeud8334j/70984_submitter_file1__20150929042528.jpg,"nematode, nematode worm, roundworm"
70989,http://www.mufoncms.com/files_jeud8334j/70989_submitter_file2__IMG7246.PNG,"airship, dirigible"
70995,http://www.mufoncms.com/files_jeud8334j/70995_submitter_file1__Moon10.jpg,"spotlight, spot"
70998,http://www.mufoncms.com/files_jeud8334j/70998_submitter_file1__UFO9.29.15.jpg,window screen
71002,http://www.mufoncms.com/files_jeud8334j/71002_submitter_file1__UNKNOWNOBJECTOBSERVED20150628.png,"parachute, chute"
71006,http://www.mufoncms.com/files_jeud8334j/71006_submitter_file1__20150930081330.jpg,pole
71018,http://www.mufoncms.com/files_jeud8334j/71018_submitter_file1__088.jpg,"fire screen, fireguard"
71022,http://www.mufoncms.com/files_jeud8334j/71022_submitter_file1__photo92.JPG,"airship, dirigible"
71024,http://www.mufoncms.com/files_jeud8334j/71024_submitter_file1__CAM00632.jpg,"spotlight, spot"
71025,http://www.mufoncms.com/files_jeud8334j/71025_submitter_file1__UFO93015.jpg,"beacon, lighthouse, beacon light, pharos"
71029,http://www.mufoncms.com/files_jeud8334j/71029_submitter_file1__image.jpeg,"seashore, coast, seacoast, sea-coast"
71030,http://www.mufoncms.com/files_jeud8334j/71030_submitter_file1__20150904233049resized.jpg,volcano
71033,http://www.mufoncms.com/files_jeud8334j/71033_submitter_file1__VCC0D.jpg,"solar dish, solar collector, solar furnace"
71036,http://www.mufoncms.com/files_jeud8334j/71036_submitter_file1__20150917211333.jpg,"spotlight, spot"
71037,http://www.mufoncms.com/files_jeud8334j/71037_submitter_file1__20150917211333.jpg,"spotlight, spot"
71045,http://www.mufoncms.com/files_jeud8334j/71045_submitter_file1__object.jpg,space shuttle
71051,http://www.mufoncms.com/files_jeud8334j/71051_submitter_file1__20150927213904.jpg,"spotlight, spot"
71124,http://www.mufoncms.com/files_jeud8334j/71124_submitter_file1__20151001093918.jpg,monastery
71132,http://www.mufoncms.com/files_jeud8334j/71132_submitter_file1__DC3ashtrayairplane04.jpg,"bald eagle, American eagle, Haliaeetus leucocephalus"
71138,http://www.mufoncms.com/files_jeud8334j/71138_submitter_file1__20151003140016.jpg,"cliff, drop, drop-off"
71143,http://www.mufoncms.com/files_jeud8334j/71143_submitter_file2__20150927211100.jpg,"spotlight, spot"
71148,http://www.mufoncms.com/files_jeud8334j/71148_submitter_file1__DSC0128.JPG,wing
71162,http://www.mufoncms.com/files_jeud8334j/71162_submitter_file1__Image2.jpg,"nematode, nematode worm, roundworm"
71165,http://www.mufoncms.com/files_jeud8334j/71165_submitter_file1__a0f47c91e1094108b9590cb0fb92575c.jpg,"spotlight, spot"
71166,http://www.mufoncms.com/files_jeud8334j/71166_submitter_file1__DSC1135.jpg,volcano
71167,http://www.mufoncms.com/files_jeud8334j/71167_submitter_file1__003.JPG,"nematode, nematode worm, roundworm"
71174,http://www.mufoncms.com/files_jeud8334j/71174_submitter_file1__image.jpeg,"nematode, nematode worm, roundworm"
71177,http://www.mufoncms.com/files_jeud8334j/71177_submitter_file1__IMG5929.jpg,"spotlight, spot"
71185,http://www.mufoncms.com/files_jeud8334j/71185_submitter_file1__IMG00581.JPG,"traffic light, traffic signal, stoplight"
71254,http://www.mufoncms.com/files_jeud8334j/71254_submitter_file1__image.jpeg,"airship, dirigible"
71256,http://www.mufoncms.com/files_jeud8334j/71256_submitter_file1__1004766.JPG,"nematode, nematode worm, roundworm"
71261,http://www.mufoncms.com/files_jeud8334j/71261_submitter_file4__IMG0001.JPG,"pool table, billiard table, snooker table"
71262,http://www.mufoncms.com/files_jeud8334j/71262_submitter_file1__191.JPG,rapeseed
71272,http://www.mufoncms.com/files_jeud8334j/71272_submitter_file1__IMG0010.JPG,matchstick
71275,http://www.mufoncms.com/files_jeud8334j/71275_submitter_file1__IMG20151008150848.jpg,"church, church building"
71284,http://www.mufoncms.com/files_jeud8334j/71284_submitter_file1__052001.jpg,"traffic light, traffic signal, stoplight"
71294,http://www.mufoncms.com/files_jeud8334j/71294_submitter_file1__image.jpeg,"parachute, chute"
71297,http://www.mufoncms.com/files_jeud8334j/71297_submitter_file1__DSC0053.jpg,"nematode, nematode worm, roundworm"
71298,http://www.mufoncms.com/files_jeud8334j/71298_submitter_file1__20150918083456.jpg,"church, church building"
71301,http://www.mufoncms.com/files_jeud8334j/71301_submitter_file1__image.jpeg,"parachute, chute"
71302,http://www.mufoncms.com/files_jeud8334j/71302_submitter_file1__UFO001.JPG,chain
71304,http://www.mufoncms.com/files_jeud8334j/71304_submitter_file1__IMG0198.JPG,"nematode, nematode worm, roundworm"
71308,http://www.mufoncms.com/files_jeud8334j/71308_submitter_file1__DNVM0016.JPG,"television, television system"
71313,http://www.mufoncms.com/files_jeud8334j/71313_submitter_file1__feb25th2015hendersonnv.jpg,"traffic light, traffic signal, stoplight"
71315,http://www.mufoncms.com/files_jeud8334j/71315_submitter_file1__aa22.jpg,"dock, dockage, docking facility"
71316,http://www.mufoncms.com/files_jeud8334j/71316_submitter_file1__image.jpg,lotion
71317,http://www.mufoncms.com/files_jeud8334j/71317_submitter_file1__IMG2240.PNG,"nematode, nematode worm, roundworm"
71319,http://www.mufoncms.com/files_jeud8334j/71319_submitter_file1__20151009215452.jpg,velvet
71321,http://www.mufoncms.com/files_jeud8334j/71321_submitter_file1__TMPDOODLE1444465220920.jpg,"jersey, T-shirt, tee shirt"
71323,http://www.mufoncms.com/files_jeud8334j/71323_submitter_file1__20151007050846372.jpg,velvet
71327,http://www.mufoncms.com/files_jeud8334j/71327_submitter_file1__Screenshot20150911134256.png,space shuttle
71329,http://www.mufoncms.com/files_jeud8334j/71329_submitter_file1__orb.jpg,"nematode, nematode worm, roundworm"
71331,http://www.mufoncms.com/files_jeud8334j/71331_submitter_file1__1010120.JPG,"spotlight, spot"
71332,http://www.mufoncms.com/files_jeud8334j/71332_submitter_file1__075.JPG,"seashore, coast, seacoast, sea-coast"
71353,http://www.mufoncms.com/files_jeud8334j/71353_submitter_file1__IMG0004.JPG,"parachute, chute"
71355,http://www.mufoncms.com/files_jeud8334j/71355_submitter_file1__DSCN4236.jpg,"mobile home, manufactured home"
71356,http://www.mufoncms.com/files_jeud8334j/71356_submitter_file1__2015100906580011.jpg,"hammerhead, hammerhead shark"
71366,http://www.mufoncms.com/files_jeud8334j/71366_submitter_file1__20151007203324.jpg,"grand piano, grand"
71368,http://www.mufoncms.com/files_jeud8334j/71368_submitter_file1__image.jpg,"nematode, nematode worm, roundworm"
71369,http://www.mufoncms.com/files_jeud8334j/71369_submitter_file1__UFOOct9201511amandMUFONPICS043.JPG,kite
71370,http://www.mufoncms.com/files_jeud8334j/71370_submitter_file1__IMG08621.JPG,kite
71373,http://www.mufoncms.com/files_jeud8334j/71373_submitter_file1__image.jpeg,"flagpole, flagstaff"
71374,http://www.mufoncms.com/files_jeud8334j/71374_submitter_file1__ovni.jpg,"spotlight, spot"
71375,http://www.mufoncms.com/files_jeud8334j/71375_submitter_file2__12140043102066772526842478414759788581017694o.jpg,"cliff, drop, drop-off"
71377,http://www.mufoncms.com/files_jeud8334j/71377_submitter_file1__P1000523.JPG,"cliff, drop, drop-off"
71579,http://www.mufoncms.com/files_jeud8334j/71579_submitter_file1__BloodMoonUFO007.JPG,"spotlight, spot"
71581,http://www.mufoncms.com/files_jeud8334j/71581_submitter_file2__image.jpeg,"nematode, nematode worm, roundworm"
71590,http://www.mufoncms.com/files_jeud8334j/71590_submitter_file1__PHOTO20151016061819.jpg,"grand piano, grand"
71591,http://www.mufoncms.com/files_jeud8334j/71591_submitter_file1__IMG20151012171206.jpg,"beacon, lighthouse, beacon light, pharos"
71602,http://www.mufoncms.com/files_jeud8334j/71602_submitter_file1__image.jpeg,"nematode, nematode worm, roundworm"
71604,http://www.mufoncms.com/files_jeud8334j/71604_submitter_file1__image.jpeg,"traffic light, traffic signal, stoplight"
71618,http://www.mufoncms.com/files_jeud8334j/71618_submitter_file1__1213997511711449629000018202041561794774776o.jpg,barn
71633,http://www.mufoncms.com/files_jeud8334j/71633_submitter_file1__vshapedpinemanor.jpg,analog clock
71634,http://www.mufoncms.com/files_jeud8334j/71634_submitter_file1__20131216184035.JPG,kite
71636,http://www.mufoncms.com/files_jeud8334j/71636_submitter_file1__image.jpeg,car mirror
71638,http://www.mufoncms.com/files_jeud8334j/71638_submitter_file1__Oct17201513552pm.jpg,fireboat
71640,http://www.mufoncms.com/files_jeud8334j/71640_submitter_file1__ScreenShot20151018at11.12.37AM.png,"warplane, military plane"
71677,http://www.mufoncms.com/files_jeud8334j/71677_submitter_file1__IMG0254.jpg,hay
71681,http://www.mufoncms.com/files_jeud8334j/71681_submitter_file1__001.jpg,"solar dish, solar collector, solar furnace"
71683,http://www.mufoncms.com/files_jeud8334j/71683_submitter_file1__Scan.jpg,"toilet tissue, toilet paper, bathroom tissue"
71686,http://www.mufoncms.com/files_jeud8334j/71686_submitter_file1__IMG2187.JPG,"television, television system"
71690,http://www.mufoncms.com/files_jeud8334j/71690_submitter_file1__UFO1.jpg,"beacon, lighthouse, beacon light, pharos"
71691,http://www.mufoncms.com/files_jeud8334j/71691_submitter_file1__image.jpg,"flute, transverse flute"
71692,http://www.mufoncms.com/files_jeud8334j/71692_submitter_file1__randomwallpaper035.jpg,"flagpole, flagstaff"
71785,http://www.mufoncms.com/files_jeud8334j/71785_submitter_file1__20151022110258.jpg,pole
71786,http://www.mufoncms.com/files_jeud8334j/71786_submitter_file1__IMG20151021232436.jpg,packet
71788,http://www.mufoncms.com/files_jeud8334j/71788_submitter_file2__20140928233932.JPG,"nematode, nematode worm, roundworm"
71791,http://www.mufoncms.com/files_jeud8334j/71791_submitter_file1__Screenshot20151021191801.png,missile
71901,http://www.mufoncms.com/files_jeud8334j/71901_submitter_file1__20151026044606.jpg,scuba diver
71904,http://www.mufoncms.com/files_jeud8334j/71904_submitter_file1__FlemingtonUFO2015Oct..jpg,"beacon, lighthouse, beacon light, pharos"
71905,http://www.mufoncms.com/files_jeud8334j/71905_submitter_file1__Scan0001.jpg,envelope
71909,http://www.mufoncms.com/files_jeud8334j/71909_submitter_file1__photo1.PNG,"traffic light, traffic signal, stoplight"
71914,http://www.mufoncms.com/files_jeud8334j/71914_submitter_file1__UFOsightingdrawing.JPG,"binder, ring-binder"
71917,http://www.mufoncms.com/files_jeud8334j/71917_submitter_file1__022114051403.jpg,"platypus, duckbill, duckbilled platypus, duck-billed platypus, Ornithorhynchus anatinus"
71921,http://www.mufoncms.com/files_jeud8334j/71921_submitter_file1__PICSBELONGTOKIM.HTAKENINPENDLETONOREGONANDARENOTFORSHARING15.jpg,"airship, dirigible"
71924,http://www.mufoncms.com/files_jeud8334j/71924_submitter_file1__20112012JessaandOrbs1466.JPG,digital clock
71929,http://www.mufoncms.com/files_jeud8334j/71929_submitter_file1__image.jpg,"great white shark, white shark, man-eater, man-eating shark, Carcharodon carcharias"
71931,http://www.mufoncms.com/files_jeud8334j/71931_submitter_file1__light.jpg,"lakeside, lakeshore"
71933,http://www.mufoncms.com/files_jeud8334j/71933_submitter_file1__unnamed.jpg,volcano
71941,http://www.mufoncms.com/files_jeud8334j/71941_submitter_file1__MFDC0150.JPG,"bighorn, bighorn sheep, cimarron, Rocky Mountain bighorn, Rocky Mountain sheep, Ovis canadensis"
71945,http://www.mufoncms.com/files_jeud8334j/71945_submitter_file1__112312847780474856558181093825810677663416o1.jpg,"shield, buckler"
71950,http://www.mufoncms.com/files_jeud8334j/71950_submitter_file1__image.jpeg,"nematode, nematode worm, roundworm"
71954,http://www.mufoncms.com/files_jeud8334j/71954_submitter_file1__Skyspherepanels.jpg,fountain
71957,http://www.mufoncms.com/files_jeud8334j/71957_submitter_file1__image.jpeg,volcano
71959,http://www.mufoncms.com/files_jeud8334j/71959_submitter_file1__image.jpeg,jack-o'-lantern
71962,http://www.mufoncms.com/files_jeud8334j/71962_submitter_file1__20151026165538.jpg,"flagpole, flagstaff"
71971,http://www.mufoncms.com/files_jeud8334j/71971_submitter_file1__IMG20151029050956HDR.jpg,"nematode, nematode worm, roundworm"
71986,http://www.mufoncms.com/files_jeud8334j/71986_submitter_file1__Screenshot20151029161200.png,"lakeside, lakeshore"
71994,http://www.mufoncms.com/files_jeud8334j/71994_submitter_file1__IMG9481.JPG,torch
71996,http://www.mufoncms.com/files_jeud8334j/71996_submitter_file1__120427939145538553020006061990667793801783n.jpg,safety pin
71998,http://www.mufoncms.com/files_jeud8334j/71998_submitter_file1__120384799145535253020337227346274619128605n.jpg,"solar dish, solar collector, solar furnace"
72002,http://www.mufoncms.com/files_jeud8334j/72002_submitter_file2__DSCN0670.JPG,"""spotlight, spot"""
72003,http://www.mufoncms.com/files_jeud8334j/72003_submitter_file1__image.jpeg,volcano
72010,http://www.mufoncms.com/files_jeud8334j/72010_submitter_file1__DSC06334.JPG,balloon
72012,http://www.mufoncms.com/files_jeud8334j/72012_submitter_file1__IMG0639.JPG,"""upright, upright piano"""
72016,http://www.mufoncms.com/files_jeud8334j/72016_submitter_file1__NibiruUFOSmall.jpg,"""traffic light, traffic signal, stoplight"""
72019,http://www.mufoncms.com/files_jeud8334j/72019_submitter_file2__picofliteball.jpg,"""pool table, billiard table, snooker table"""
72026,http://www.mufoncms.com/files_jeud8334j/72026_submitter_file1__image.jpg,kite
72027,http://www.mufoncms.com/files_jeud8334j/72027_submitter_file1__DSC0042.JPG,palace
72035,http://www.mufoncms.com/files_jeud8334j/72035_submitter_file1__image.jpeg,"""lakeside, lakeshore"""
72045,http://www.mufoncms.com/files_jeud8334j/72045_submitter_file1__IMG20151031WA0009.jpg,"""spotlight, spot"""
72054,http://www.mufoncms.com/files_jeud8334j/72054_submitter_file1__DSC00839.JPG,"""trailer truck, tractor trailer, trucking rig, rig, articulated lorry, semi"""
72060,http://www.mufoncms.com/files_jeud8334j/72060_submitter_file1__caerwentmap.jpg,"""airship, dirigible"""
72061,http://www.mufoncms.com/files_jeud8334j/72061_submitter_file1__UFO.png,envelope
72080,http://www.mufoncms.com/files_jeud8334j/72080_submitter_file1__objectaround4am.jpg,"""nematode, nematode worm, roundworm"""
72081,http://www.mufoncms.com/files_jeud8334j/72081_submitter_file1__image.jpg,"""nematode, nematode worm, roundworm"""
72084,http://www.mufoncms.com/files_jeud8334j/72084_submitter_file1__image.jpg,"""ice lolly, lolly, lollipop, popsicle"""
72090,http://www.mufoncms.com/files_jeud8334j/72090_submitter_file1__twoobject.jpg,"""book jacket, dust cover, dust jacket, dust wrapper"""
72113,http://www.mufoncms.com/files_jeud8334j/72113_submitter_file1__image.jpg,scuba diver
72124,http://www.mufoncms.com/files_jeud8334j/72124_submitter_file1__20151026183.jpg,"""traffic light, traffic signal, stoplight"""
72125,http://www.mufoncms.com/files_jeud8334j/72125_submitter_file1__2015102714.35.57.jpg,gondola
72143,http://www.mufoncms.com/files_jeud8334j/72143_submitter_file1__IMGP45962.jpg,"""platypus, duckbill, duckbilled platypus, duck-billed platypus, Ornithorhynchus anatinus"""
72147,http://www.mufoncms.com/files_jeud8334j/72147_submitter_file1__IMG2183.PNG,"""nematode, nematode worm, roundworm"""
72149,http://www.mufoncms.com/files_jeud8334j/72149_submitter_file1__pic1.jpg,"""greenhouse, nursery, glasshouse"""
72150,http://www.mufoncms.com/files_jeud8334j/72150_submitter_file1__IMG20150806185929.jpg,wig
72151,http://www.mufoncms.com/files_jeud8334j/72151_submitter_file1__P1040210.JPG,"""dam, dike, dyke"""
72154,http://www.mufoncms.com/files_jeud8334j/72154_submitter_file1__BroadatSnyder.jpg,"""passenger car, coach, carriage"""
72160,http://www.mufoncms.com/files_jeud8334j/72160_submitter_file1__11061327102077033104033623954185395500812113n.jpg,"""airship, dirigible"""
72164,http://www.mufoncms.com/files_jeud8334j/72164_submitter_file1__032.JPG,"""flagpole, flagstaff"""
72167,http://www.mufoncms.com/files_jeud8334j/72167_submitter_file1__0113090711.jpg,velvet
72168,http://www.mufoncms.com/files_jeud8334j/72168_submitter_file1__IMG20151027161751.jpg,"""spider web, spider's web"""
72174,http://www.mufoncms.com/files_jeud8334j/72174_submitter_file2__20151001044024.png,"""spotlight, spot"""
72179,http://www.mufoncms.com/files_jeud8334j/72179_submitter_file1__001.JPG,"""parachute, chute"""
72181,http://www.mufoncms.com/files_jeud8334j/72181_submitter_file3__image.jpg,volcano
72216,http://www.mufoncms.com/files_jeud8334j/72216_submitter_file1__DSCN0022.jpg,"spotlight, spot"
72217,http://www.mufoncms.com/files_jeud8334j/72217_submitter_file1__SturtevantOrb1.jpg,"television, television system"
72223,http://www.mufoncms.com/files_jeud8334j/72223_submitter_file1__20151104095009.jpg,car mirror
72224,http://www.mufoncms.com/files_jeud8334j/72224_submitter_file1__FBIMG1446870571340.jpg,"airship, dirigible"
72236,http://www.mufoncms.com/files_jeud8334j/72236_submitter_file1__image.jpg,suspension bridge
72246,http://www.mufoncms.com/files_jeud8334j/72246_submitter_file1__tmp12764201511071726161878907558.jpg,"""book jacket, dust cover, dust jacket, dust wrapper"""
72250,http://www.mufoncms.com/files_jeud8334j/72250_submitter_file1__20151105175317.jpg,geyser
72285,http://www.mufoncms.com/files_jeud8334j/72285_submitter_file1__ufo5of26.jpg,snowmobile
72289,http://www.mufoncms.com/files_jeud8334j/72289_submitter_file1__374.jpg,"""grand piano, grand"""
